Route Number,Route Name_x,Schedule Period Name,Day Type,Time Period,Averge Early Stop count,Averge Late Stop count,Averge On-Time Stop count,Route Name_y,Average Boardings,Average Alightings,Average Pass-Up,Average Wheelchair Pass-Up
14,Ellice-St. Mary's,Summer 2022,Weekday,Night,23.43589744,27.21367521,61.94017094,St. Mary's-Ellice,1.328571429,1.506912442,0,1
14,Ellice-St. Mary's,Summer 2022,Weekday,PM Peak,48.64242424,120.8787879,172.1151515,St. Mary's-Ellice,6.738248848,6.95437788,6,1
14,Ellice-St. Mary's,Summer 2023,Weekday,Evening,31.14666667,45.17333333,110.28,St. Mary's-Ellice,3.679207921,3.952970297,7,1
14,Ellice-St. Mary's,Summer 2023,Weekday,Mid-Day,197.359375,138.21875,611.796875,St. Mary's-Ellice,10.88366337,10.78267327,17,3
14,Ellice-St. Mary's,Summer 2023,Weekday,Morning,113.2222222,53.55555556,482.5714286,St. Mary's-Ellice,5.471287129,5.038118812,6,0
14,Ellice-St. Mary's,Summer 2023,Weekday,Night,18.46341463,23.82926829,64.46341463,St. Mary's-Ellice,1.007425743,1.155940594,1,0
14,Ellice-St. Mary's,Summer 2023,Weekday,PM Peak,88.1686747,77.19277108,162.1325301,St. Mary's-Ellice,6.147029703,6.442574257,61,3
14,Ellice-St. Mary's,Winter 2022,Weekday,Evening,21.5060241,121.1566265,111.4819277,St. Mary's-Ellice,3.94516129,4.242396313,2,0
14,Ellice-St. Mary's,Winter 2022,Weekday,Mid-Day,116.0240964,196.6024096,415.8192771,St. Mary's-Ellice,13.62718894,13.31935484,8,0
14,Ellice-St. Mary's,Winter 2022,Weekday,Morning,89.0375,84.1375,328.025,St. Mary's-Ellice,6.743778802,6.273732719,0,0
14,Ellice-St. Mary's,Winter 2022,Weekday,Night,32.18309859,69.07042254,55.8028169,St. Mary's-Ellice,1.120737327,1.256682028,0,1
14,Ellice-St. Mary's,Winter 2022,Weekday,PM Peak,49.2804878,195.9512195,151.804878,St. Mary's-Ellice,8.653917051,8.908294931,26,1
15,Sargent-Mountain,Fall 2022,Weekday,Evening,22.09090909,39.82683983,81.69264069,Sargent-Mountain,4.6125,4.885416667,0,2
15,Sargent-Mountain,Fall 2022,Weekday,Mid-Day,43.74642857,58.88214286,137.725,Sargent-Mountain,11.28802083,10.81197917,16,7
15,Sargent-Mountain,Fall 2022,Weekday,Morning,30.36742424,52.15151515,167.7121212,Sargent-Mountain,7.260416667,6.8203125,0,0
15,Sargent-Mountain,Fall 2022,Weekday,Night,18.1552795,33.32919255,74.32919255,Sargent-Mountain,1.687777778,1.859444444,0,0
15,Sargent-Mountain,Fall 2022,Weekday,PM Peak,50.32178218,74.04455446,141.3613861,Sargent-Mountain,10.23036649,10.70366492,18,2
15,Sargent-Mountain,Spring 2023,Weekday,Evening,21.60416667,37.42083333,60.65416667,Sargent-Mountain,5.325531915,5.433510638,1,2
15,Sargent-Mountain,Spring 2023,Weekday,Mid-Day,38.83552632,96.10855263,118.7697368,Sargent-Mountain,12.3893617,11.90904255,19,22
15,Sargent-Mountain,Spring 2023,Weekday,Morning,36.34146341,54.83623693,176.2369338,Sargent-Mountain,8.264361702,7.664361702,0,0
15,Sargent-Mountain,Spring 2023,Weekday,Night,23.12598425,32.23622047,49.03149606,Sargent-Mountain,1.797727273,2.090909091,0,0
15,Sargent-Mountain,Spring 2023,Weekday,PM Peak,40.43119266,103.0550459,110.412844,Sargent-Mountain,9.963101604,10.4855615,20,0
15,Sargent-Mountain,Summer 2022,Weekday,Evening,16.94642857,34.31696429,58.55803571,Sargent-Mountain,4.654166667,4.815104167,0,3
15,Sargent-Mountain,Summer 2022,Weekday,Mid-Day,42.35789474,49.63508772,129.2,Sargent-Mountain,10.38333333,9.808333333,8,26
15,Sargent-Mountain,Summer 2022,Weekday,Morning,34.16165414,42.12781955,164.7406015,Sargent-Mountain,6.121354167,5.815625,0,0
15,Sargent-Mountain,Summer 2022,Weekday,Night,12.25581395,25.52713178,56.36434109,Sargent-Mountain,1.567777778,1.701111111,0,0
15,Sargent-Mountain,Summer 2022,Weekday,PM Peak,52.73076923,64.00961538,109.9423077,Sargent-Mountain,7.915183246,8.393717277,8,6
15,Sargent-Mountain,Summer 2023,Weekday,Evening,22.88695652,40.47826087,69.52173913,Sargent-Mountain,5.628723404,5.831382979,3,5
15,Sargent-Mountain,Summer 2023,Weekday,Mid-Day,38.54482759,55.9862069,155.1517241,Sargent-Mountain,12.69946809,12.19414894,25,24
15,Sargent-Mountain,Summer 2023,Weekday,Morning,44.3359375,29.7734375,176.3046875,Sargent-Mountain,6.939361702,6.561170213,0,0
15,Sargent-Mountain,Summer 2023,Weekday,Night,19.58108108,36.60810811,51.05405405,Sargent-Mountain,1.855681818,2.071022727,0,0
15,Sargent-Mountain,Summer 2023,Weekday,PM Peak,76.68571429,59.6,127.3047619,Sargent-Mountain,9.959893048,10.53850267,36,11
15,Sargent-Mountain,Winter 2022,Weekday,Evening,18.53333333,40.03333333,86.125,Sargent-Mountain,5.145454545,5.359893048,0,0
15,Sargent-Mountain,Winter 2022,Weekday,Mid-Day,34.96527778,80.66666667,133.3958333,Sargent-Mountain,12.87165775,12.30855615,12,1
