,Route Number,Route Name_x,Schedule Period Name,Day Type,Time Period,Averge Early Stop count,Averge Late Stop count,Averge On-Time Stop count,Route Name_y,Average Boardings,Average Alightings,Average Pass-Up,Average Wheelchair Pass-Up
65,10,St. Boniface-West Broadway,Winter 2022,Weekday,Morning,29.819277108433734,5.048192771084337,58.71084337349398,St.Boniface-West Broadway,2.808181818181818,2.688181818181818,0.0,0.0
66,10,St. Boniface-West Broadway,Winter 2022,Saturday,Night,22.05,6.4,41.95,,,,0.0,0.0
67,10,St. Boniface-West Broadway,Winter 2022,Sunday,Night,1.5,2.0,12.5,,,,0.0,0.0
68,10,St. Boniface-West Broadway,Winter 2022,Weekday,Night,8.5,18.325,58.925,St.Boniface-West Broadway,0.5681818181818182,0.6218181818181818,0.0,0.0
69,10,St. Boniface-West Broadway,Winter 2022,Saturday,PM Peak,12.0,30.071428571428573,64.14285714285714,,,,0.0,0.0
70,10,St. Boniface-West Broadway,Winter 2022,Sunday,PM Peak,1.5,44.125,69.375,,,,0.0,0.0
71,10,St. Boniface-West Broadway,Winter 2022,Weekday,PM Peak,17.677419354838708,25.951612903225808,49.096774193548384,St.Boniface-West Broadway,2.714545454545455,2.7481818181818185,0.0,0.0
72,10,St. Boniface-West Broadway,Winter 2023,Saturday,Evening,25.1875,55.9375,78.0,,,,0.0,0.0
73,10,St. Boniface-West Broadway,Winter 2023,Sunday,Evening,15.58,40.86,110.86,,,,0.0,0.0
74,10,St. Boniface-West Broadway,Winter 2023,Weekday,Evening,19.343478260869563,7.6347826086956525,38.278260869565216,,,,0.0,0.0
75,10,St. Boniface-West Broadway,Winter 2023,Saturday,Mid-Day,26.05,27.6,154.55,,,,0.0,0.0
76,10,St. Boniface-West Broadway,Winter 2023,Sunday,Mid-Day,15.5,32.63461538461539,142.71153846153845,,,,0.0,0.0
77,10,St. Boniface-West Broadway,Winter 2023,Weekday,Mid-Day,55.248979591836736,10.83673469387755,93.53061224489795,,,,0.0,0.0
78,10,St. Boniface-West Broadway,Winter 2023,Saturday,Morning,14.65,7.75,97.35,,,,1.0,0.0
79,10,St. Boniface-West Broadway,Winter 2023,Weekday,Morning,35.830357142857146,4.413690476190476,64.11904761904762,,,,1.0,0.0
80,10,St. Boniface-West Broadway,Winter 2023,Saturday,Night,17.75,23.333333333333332,28.666666666666668,,,,0.0,0.0
81,10,St. Boniface-West Broadway,Winter 2023,Sunday,Night,5.92,2.12,7.0,,,,0.0,0.0
82,10,St. Boniface-West Broadway,Winter 2023,Weekday,Night,20.50381679389313,8.34351145038168,53.20610687022901,,,,0.0,0.0
83,10,St. Boniface-West Broadway,Winter 2023,Saturday,PM Peak,9.625,17.5625,78.3125,,,,0.0,0.0
84,10,St. Boniface-West Broadway,Winter 2023,Sunday,PM Peak,8.52,29.52,76.08,,,,0.0,0.0
85,10,St. Boniface-West Broadway,Winter 2023,Weekday,PM Peak,24.19031141868512,14.477508650519031,53.089965397923876,,,,0.0,0.0
86,11,Portage-Kildonan,Fall 2022,Saturday,Evening,42.94736842105263,95.03508771929825,130.87719298245614,,,,0.0,0.0
87,11,Portage-Kildonan,Fall 2022,Sunday,Evening,39.84,76.68,102.92,,,,0.0,0.0
88,11,Portage-Kildonan,Fall 2022,Weekday,Evening,54.333333333333336,84.36200716845879,147.19354838709677,Portage-Kildonan,6.673353293413174,6.764970059880239,0.0,0.0
89,11,Portage-Kildonan,Fall 2022,Saturday,Mid-Day,54.06060606060606,217.84848484848484,298.4848484848485,,,,0.0,0.0
90,11,Portage-Kildonan,Fall 2022,Sunday,Mid-Day,39.85507246376812,114.59420289855072,190.6231884057971,,,,0.0,0.0
91,11,Portage-Kildonan,Fall 2022,Weekday,Mid-Day,85.36363636363636,274.75151515151515,409.4787878787879,Portage-Kildonan,20.740000000000002,20.454358974358975,0.0,0.0
92,11,Portage-Kildonan,Fall 2022,Saturday,Morning,20.61111111111111,30.61111111111111,167.94444444444446,,,,217.0,11.0
93,11,Portage-Kildonan,Fall 2022,Sunday,Morning,25.53846153846154,28.53846153846154,118.96153846153847,,,,217.0,11.0
94,11,Portage-Kildonan,Fall 2022,Weekday,Morning,57.78658536585366,68.71951219512195,298.6219512195122,Portage-Kildonan,8.277435897435897,7.753333333333334,217.0,11.0
95,11,Portage-Kildonan,Fall 2022,Saturday,Night,30.455882352941178,8.794117647058824,65.02941176470588,,,,0.0,0.0
96,11,Portage-Kildonan,Fall 2022,Sunday,Night,21.96875,14.046875,46.234375,,,,0.0,0.0
97,11,Portage-Kildonan,Fall 2022,Weekday,Night,37.8605577689243,17.07171314741036,91.86055776892431,Portage-Kildonan,1.8181268882175226,2.1003021148036254,0.0,0.0
98,11,Portage-Kildonan,Fall 2022,Saturday,PM Peak,10.574074074074074,94.64814814814815,52.75925925925926,,,,0.0,0.0
99,11,Portage-Kildonan,Fall 2022,Sunday,PM Peak,19.016393442622952,83.62295081967213,79.57377049180327,,,,0.0,0.0
100,11,Portage-Kildonan,Fall 2022,Weekday,PM Peak,11.612040133779264,130.79933110367892,49.85953177257525,Portage-Kildonan,10.254337899543378,10.374885844748858,0.0,0.0
101,11,Portage-Kildonan,Spring 2023,Saturday,Evening,22.72340425531915,70.93617021276596,112.36170212765957,,,,0.0,0.0
102,11,Portage-Kildonan,Spring 2023,Sunday,Evening,20.4375,118.0625,98.6875,,,,0.0,0.0
103,11,Portage-Kildonan,Spring 2023,Weekday,Evening,70.68954248366013,102.0718954248366,131.0261437908497,Portage-Kildonan,7.952994011976048,8.05688622754491,0.0,0.0
104,11,Portage-Kildonan,Spring 2023,Saturday,Mid-Day,47.0625,132.90625,273.375,,,,0.0,0.0
105,11,Portage-Kildonan,Spring 2023,Sunday,Mid-Day,38.116279069767444,134.13953488372093,184.51162790697674,,,,0.0,0.0
106,11,Portage-Kildonan,Spring 2023,Weekday,Mid-Day,110.69318181818181,315.34090909090907,561.0170454545455,Portage-Kildonan,20.52974358974359,20.323076923076922,0.0,0.0
107,11,Portage-Kildonan,Spring 2023,Saturday,Morning,30.875,9.96875,133.21875,,,,252.0,11.0
108,11,Portage-Kildonan,Spring 2023,Sunday,Morning,33.03846153846154,18.615384615384617,149.96153846153845,,,,252.0,11.0
109,11,Portage-Kildonan,Spring 2023,Weekday,Morning,91.52272727272727,59.15909090909091,357.59659090909093,Portage-Kildonan,8.538461538461538,7.987179487179487,252.0,11.0
110,11,Portage-Kildonan,Spring 2023,Saturday,Night,18.425,9.725,49.0,,,,0.0,0.0
111,11,Portage-Kildonan,Spring 2023,Sunday,Night,16.863636363636363,22.90909090909091,35.86363636363637,,,,0.0,0.0
112,11,Portage-Kildonan,Spring 2023,Weekday,Night,30.144981412639407,28.345724907063197,73.23420074349443,Portage-Kildonan,2.1395770392749247,2.4404833836858004,0.0,0.0
113,11,Portage-Kildonan,Spring 2023,Saturday,PM Peak,13.857142857142858,49.63265306122449,67.04081632653062,,,,0.0,0.0
114,11,Portage-Kildonan,Spring 2023,Sunday,PM Peak,19.941176470588236,92.44117647058823,77.58823529411765,,,,0.0,0.0
115,11,Portage-Kildonan,Spring 2023,Weekday,PM Peak,9.791277258566979,167.9626168224299,45.66043613707165,Portage-Kildonan,9.949315068493151,9.976255707762556,0.0,0.0
116,11,Portage-Kildonan,Summer 2022,Saturday,Evening,19.45,44.95,113.625,,,,0.0,0.0
117,11,Portage-Kildonan,Summer 2022,Sunday,Evening,17.738095238095237,49.45238095238095,73.5,,,,0.0,0.0
118,11,Portage-Kildonan,Summer 2022,Weekday,Evening,51.91724137931035,80.70689655172414,156.3793103448276,Portage-Kildonan,6.498208955223881,6.524179104477612,0.0,0.0
119,11,Portage-Kildonan,Summer 2022,Saturday,Mid-Day,36.64,109.88,235.12,,,,0.0,0.0
120,11,Portage-Kildonan,Summer 2022,Sunday,Mid-Day,24.829787234042552,68.57446808510639,133.25531914893617,,,,0.0,0.0
121,11,Portage-Kildonan,Summer 2022,Weekday,Mid-Day,75.17543859649123,240.83625730994152,408.0233918128655,Portage-Kildonan,17.26102564102564,16.864615384615384,0.0,0.0
